,0,1,2,3,label
0,18.76,20.15,21.14,20.39,0
1,19.27,19.93,20.4,21.08,2
2,18.42,20.41,21.39,20.67,0
3,19.37,20.6,20.43,20.75,0
4,19.7,20.62,20.13,20.89,2
5,19.25,20.03,20.96,21.35,2
6,17.97,20.19,21.85,21.83,0
7,17.83,20.33,21.48,22.43,0
8,20.04,19.96,20.99,21.5,2
9,19.56,21.04,20.98,21.2,0
10,19.78,20.71,20.66,21.83,2
11,19.69,20.67,21.73,21.13,0
12,19.32,20.27,21.45,22.73,2
13,18.51,19.9,21.36,24.04,2
14,20.5,21.6,21.65,21.07,1
15,20.22,21.02,22.4,22.9,2
16,20.76,21.9,21.8,22.43,2
17,18.94,20.33,21.11,20.84,0
18,18.72,20.96,20.43,21.13,0
19,18.73,20.61,20.92,21.0,0
20,19.57,20.58,21.06,21.03,0
21,19.43,20.98,20.83,21.18,0
22,19.31,21.12,21.66,21.03,0
23,18.81,20.95,21.58,21.78,0
24,19.85,20.82,21.92,20.87,1
25,19.81,20.73,21.72,21.55,0
26,19.49,20.42,21.51,22.55,2
27,19.75,20.88,21.67,22.04,2
28,19.15,20.63,22.11,22.51,2
29,19.26,21.15,21.87,23.01,2
30,21.18,21.51,21.58,21.34,1
31,20.52,21.2,21.78,22.52,2
32,18.4,19.69,20.47,20.55,0
33,19.53,19.68,20.36,20.36,2
34,18.78,19.59,20.6,21.97,2
35,19.87,20.63,21.38,19.52,1
36,18.67,21.23,20.93,20.58,0
37,19.52,20.35,21.13,20.79,0
38,19.21,20.44,21.3,20.93,0
39,19.7,20.72,21.04,20.58,1
40,19.48,20.48,20.77,21.38,2
41,19.59,20.51,21.32,21.91,2
42,19.44,20.53,21.51,22.11,2
43,19.87,20.63,21.38,21.9,2
44,19.97,20.8,21.55,21.5,0
45,19.84,20.81,21.84,21.42,0
46,19.71,21.36,21.42,21.87,0
47,19.74,20.78,22.01,22.36,2
48,20.45,21.35,21.77,21.73,0
49,19.49,21.2,22.5,22.42,0
50,19.22,20.67,21.92,23.91,2
51,19.99,21.64,22.15,22.21,0
52,17.98,20.01,20.46,21.09,0
53,19.01,20.16,20.59,21.31,2
54,19.65,20.69,20.28,20.67,0
55,18.51,19.89,20.95,22.04,2
56,19.31,20.35,21.11,20.62,0
57,19.36,20.54,20.64,21.49,2
58,19.25,20.65,21.64,20.78,0
59,19.29,20.46,21.09,22.29,2
60,20.22,21.23,21.33,20.96,1
61,19.77,20.85,21.27,21.92,2
62,20.46,20.63,20.86,21.93,2
63,20.78,20.94,21.09,21.21,2
64,20.78,21.65,21.43,21.57,0
65,20.22,21.82,21.62,22.46,0
66,20.4,22.52,22.63,21.29,1
67,19.11,20.79,19.92,20.79,0
68,18.88,19.66,20.46,22.14,2
69,18.27,19.96,20.79,22.13,2
70,19.41,20.3,20.01,21.69,2
71,19.71,20.15,20.73,20.87,2
72,19.56,20.36,20.63,21.91,2
73,19.19,20.07,21.32,21.88,2
74,19.2,20.37,21.53,22.49,2
75,20.55,20.19,21.15,22.39,2
76,20.56,21.61,21.43,21.13,1
77,20.14,21.49,22.42,21.98,0
78,20.18,21.33,22.05,22.55,2
79,19.64,20.39,21.33,24.77,2
80,19.86,21.84,22.33,22.23,0
81,18.91,20.56,20.14,20.76,0
82,19.25,19.78,20.78,20.96,2
83,19.37,20.57,20.4,21.03,0
84,19.41,20.43,20.25,21.34,2
85,19.56,20.61,21.92,21.19,0
86,19.67,20.96,21.11,21.87,2
87,20.06,20.68,21.73,21.21,0
88,20.12,21.43,21.02,21.33,0
89,20.2,20.92,21.36,21.44,0
90,19.15,20.64,21.93,22.52,2
91,20.18,21.25,21.47,21.91,0
92,19.31,20.34,20.51,20.8,0
93,19.75,20.58,20.47,20.23,1
94,19.31,20.32,20.95,20.8,0
95,18.83,20.57,20.68,21.68,2
96,19.67,20.4,21.16,21.21,0
97,19.84,20.78,20.88,20.95,0
