,0,1,2,3,label
0,18.76,20.15,21.14,20.39,2
1,19.27,19.93,20.4,21.08,0
2,18.42,20.41,21.39,20.67,2
3,19.37,20.6,20.43,20.75,2
4,19.7,20.62,20.13,20.89,0
5,19.25,20.03,20.96,21.35,0
6,17.97,20.19,21.85,21.83,2
7,17.83,20.33,21.48,22.43,2
8,20.04,19.96,20.99,21.5,0
9,19.56,21.04,20.98,21.2,2
10,19.78,20.71,20.66,21.83,0
11,19.69,20.67,21.73,21.13,2
12,19.32,20.27,21.45,22.73,0
13,18.51,19.9,21.36,24.04,0
14,20.5,21.6,21.65,21.07,1
15,20.22,21.02,22.4,22.9,0
16,20.76,21.9,21.8,22.43,2
17,18.94,20.33,21.11,20.84,2
18,18.72,20.96,20.43,21.13,2
19,18.73,20.61,20.92,21.0,2
20,19.57,20.58,21.06,21.03,2
21,19.43,20.98,20.83,21.18,2
22,19.31,21.12,21.66,21.03,2
23,18.81,20.95,21.58,21.78,2
24,19.85,20.82,21.92,20.87,1
25,19.81,20.73,21.72,21.55,2
26,19.49,20.42,21.51,22.55,0
27,19.75,20.88,21.67,22.04,2
28,19.15,20.63,22.11,22.51,0
29,19.26,21.15,21.87,23.01,0
30,21.18,21.51,21.58,21.34,1
31,20.52,21.2,21.78,22.52,0
32,18.4,19.69,20.47,20.55,2
33,19.53,19.68,20.36,20.36,0
34,18.78,19.59,20.6,21.97,0
35,19.87,20.63,21.38,19.52,1
36,18.67,21.23,20.93,20.58,2
37,19.52,20.35,21.13,20.79,2
38,19.21,20.44,21.3,20.93,2
39,19.7,20.72,21.04,20.58,1
40,19.48,20.48,20.77,21.38,0
41,19.59,20.51,21.32,21.91,0
42,19.44,20.53,21.51,22.11,0
43,19.87,20.63,21.38,21.9,0
44,19.97,20.8,21.55,21.5,2
45,19.84,20.81,21.84,21.42,2
46,19.71,21.36,21.42,21.87,2
47,19.74,20.78,22.01,22.36,0
48,20.45,21.35,21.77,21.73,2
49,19.49,21.2,22.5,22.42,2
50,19.22,20.67,21.92,23.91,0
51,19.99,21.64,22.15,22.21,2
52,17.98,20.01,20.46,21.09,2
53,19.01,20.16,20.59,21.31,0
54,19.65,20.69,20.28,20.67,2
55,18.51,19.89,20.95,22.04,0
56,19.31,20.35,21.11,20.62,2
57,19.36,20.54,20.64,21.49,0
58,19.25,20.65,21.64,20.78,1
59,19.29,20.46,21.09,22.29,0
60,20.22,21.23,21.33,20.96,1
61,19.77,20.85,21.27,21.92,0
62,20.46,20.63,20.86,21.93,0
63,20.78,20.94,21.09,21.21,0
64,20.78,21.65,21.43,21.57,2
